matchId,tournament,date,map,team1,team2,winner,team1_rounds,team2_rounds,team1_first_half,team1_second_half,team2_first_half,team2_second_half,team1_opening_kills,team2_opening_kills,team1_clutches,team2_clutches,team1_most_kills_player,team1_most_kills,team2_most_kills_player,team2_most_kills,team1_most_assists_player,team1_most_assists,team2_most_assists_player,team2_most_assists,team1_most_deaths_player,team1_most_deaths,team2_most_deaths_player,team2_most_deaths,team1_most_damage_per_round_player,team1_most_damage_per_round,team2_most_damage_per_round_player,team2_most_damage_per_round,team2_least_kills_player,team2_least_kills,team1_least_assists_player,team1_least_assists,team2_least_assists_player,team2_least_assists,team1_least_deaths_player,team1_least_deaths,team2_least_deaths_player,team2_least_deaths,team1_least_damage_per_round_player,team1_least_damage_per_round,team2_least_damage_per_round_player,team2_least_damage_per_round,overall_most_kills_player,overall_most_kills,overall_most_kills_team,overall_most_damage_player,overall_most_damage,overall_most_damage_team,overall_most_assists_player,overall_most_assists,overall_most_assists_team,overall_most_awp_kills_player,overall_most_awp_kills,overall_most_awp_kills_team,overall_most_first_kills_player,overall_most_first_kills,overall_most_first_kills_team,overall_best_rating_2.0_player,overall_best_rating_2.0,overall_best_rating_2.0_team
82412,ECS Season 7 Europe Pinnacle Cup,2019-03-07 08:00,Cache,AGO,Vitality,AGO,16,13,11,5,4,9,13,16,1,2,SZPERO,26,apEX,23,GruBy,8,ALEX,6,Furlan,21,NBK-,23,GruBy,94.6,apEX,101.3,NBK-,12,SZPERO,3,ZywOo,1,GruBy,14,ZywOo,19,phr,48.1,RpK,37.8,SZPERO,26,AGO,apEX,101.3,Vitality,Furlan,5,AGO,SZPERO,16,AGO,apEX,6,Vitality,GruBy,1.39,AGO
82398,ECS Season 7 Europe Pinnacle Cup,2019-03-07 08:00,Mirage,AGO,Vitality,Vitality,8,16,6,2,9,7,8,16,4,0,phr,19,ZywOo,29,phr,5,apEX,7,Furlan,23,ZywOo,15,phr,93.6,apEX,120,ALEX,12,SZPERO,2,ZywOo,2,SZPERO,17,RpK,10,kaper,37.8,ALEX,60.2,ZywOo,29,Vitality,apEX,120.0,Vitality,apEX,7,Vitality,ZywOo,18,Vitality,apEX,6,Vitality,apEX,1.66,Vitality
82395,ESEA MDL Season 30 Europe,2019-03-07 06:15,Cache,Vitality,Movistar Riders,Vitality,16,9,12,4,3,6,17,8,1,3,NBK-,28,mopoz,18,NBK-,11,mixwell,5,NBK-,19,mixwell,22,NBK-,133.8,mopoz,78,SOKER,12,apEX,4,mopoz,0,ALEX,13,ALEX,19,RpK,42.8,loWel,58.5,NBK-,28,Vitality,NBK-,133.8,Vitality,NBK-,9,Vitality,ZywOo,4,Vitality,apEX,6,Vitality,NBK-,1.68,Vitality
82314,ECS Season 7 Europe Pinnacle Cup,2019-03-06 12:30,Dust2,Nemiga,Vitality,Vitality,6,16,6,0,9,7,11,11,2,3,mds,24,ZywOo,24,boX,9,apEX,5,lollipop21k,19,NBK-,14,mds,106.6,NBK-,99.3,ALEX,14,mds,0,NBK-,2,mds,17,apEX,10,ROBO,44,ALEX,66.7,ZywOo,24,Vitality,mds,106.6,Nemiga,boX,7,Nemiga,ZywOo,11,Vitality,mds,4,Nemiga,ZywOo,1.59,Vitality
82306,ECS Season 7 Europe Pinnacle Cup,2019-03-06 12:30,Overpass,Nemiga,Vitality,Vitality,11,16,8,3,7,9,11,16,1,0,lollipop21k,19,ZywOo,26,mds,7,apEX,8,mds,19,NBK-,16,mds,69,ZywOo,97.7,ALEX,12,lollipop21k,4,ALEX,2,ROBO,15,apEX,11,Jyo,49.5,ALEX,40.3,ZywOo,26,Vitality,ZywOo,97.7,Vitality,NBK-,7,Vitality,ROBO,8,Nemiga,ZywOo,6,Vitality,ZywOo,1.68,Vitality
82300,ECS Season 7 Europe Pinnacle Cup,2019-03-06 12:30,Inferno,Nemiga,Vitality,Nemiga,16,13,10,6,5,8,18,11,1,1,lollipop21k,29,apEX,18,ROBO,8,ZywOo,4,boX,17,ALEX,21,lollipop21k,89.5,NBK-,73.2,RpK,12,boX,1,RpK,2,ROBO,13,apEX,17,boX,43.3,ALEX,42.6,lollipop21k,29,Nemiga,lollipop21k,89.5,Nemiga,mds,6,Nemiga,ROBO,16,Nemiga,ZywOo,6,Vitality,lollipop21k,1.43,Nemiga
82309,ECS Season 7 Europe Pinnacle Cup,2019-03-06 08:00,Mirage,AVANGAR,Vitality,AVANGAR,16,9,11,5,4,5,17,8,1,2,Jame,28,ZywOo,19,qikert,7,ZywOo,4,KrizzeN,17,NBK-,22,qikert,110.2,ZywOo,75.8,apEX,10,Jame,1,RpK,2,Jame,9,RpK,17,SANJI,39.6,RpK,46.4,Jame,28,AVANGAR,qikert,110.2,AVANGAR,KrizzeN,5,AVANGAR,Jame,19,AVANGAR,Jame,4,AVANGAR,Jame,1.89,AVANGAR
82288,ECS Season 7 Europe Pinnacle Cup,2019-03-06 08:00,Overpass,AVANGAR,Vitality,Vitality,12,16,4,8,11,5,13,14,2,1,Jame,24,ZywOo,22,SANJI,9,NBK-,6,SANJI,19,apEX,21,Jame,83.4,RpK,85.4,NBK-,12,buster,2,ZywOo,1,Jame,14,ZywOo,16,KrizzeN,51.5,NBK-,48.1,Jame,24,AVANGAR,RpK,85.4,Vitality,KrizzeN,6,AVANGAR,Jame,14,AVANGAR,RpK,6,Vitality,Jame,1.40,AVANGAR
82278,ECS Season 7 Europe Pinnacle Cup,2019-03-06 08:00,Dust2,AVANGAR,Vitality,AVANGAR,16,14,8,8,7,7,19,11,1,0,Jame,29,apEX,23,KrizzeN,5,NBK-,7,buster,19,NBK-,24,Jame,98.3,apEX,76.9,ALEX,12,qikert,2,ALEX,2,Jame,13,ZywOo,17,buster,51.2,RpK,51.9,Jame,29,AVANGAR,Jame,98.3,AVANGAR,NBK-,4,Vitality,Jame,22,AVANGAR,Jame,7,AVANGAR,Jame,1.63,AVANGAR
82226,ECS Season 7 Europe Pinnacle Cup,2019-03-05 09:00,Cache,Vitality,Chaos,Vitality,16,12,7,9,8,4,15,13,5,1,ZywOo,22,FREDDyFROG,26,NBK-,5,PlesseN,6,apEX,23,PlesseN,20,NBK-,91.6,Relaxa,90.7,djL,14,ALEX,1,Relaxa,2,ZywOo,17,FREDDyFROG,16,ALEX,47,djL,61.6,FREDDyFROG,26,Chaos,NBK-,91.6,Vitality,RpK,4,Vitality,ZywOo,14,Vitality,apEX,6,Vitality,FREDDyFROG,1.40,Chaos
